
Chapter-1-page-1.html
python              : n. 丹舌,大蟒,巨蟒
covered             : 
intended            : adj. 预期的，故意的 n. 未婚妻
outer               : adj. 外部的, 外面的
notable             : adj. 显著的, 著名的 n. 名人
relationship        : n. 关系, 关联
nonzero             : adj. 非零的
simulation          : n. 模拟,仿真,赝品
overview            : n. 概观(况),总结 [计算机] 概貌
evaluation          : n. 估价,评价
production          : n. 生产,产品,产量,作品,成果
factorial           : adj. 阶乘的，因数的 n. 阶乘
integration         : n. 综合, 集成, 同化
living              : adj. 活着的 n. 生活, 生计

Chapter-5-page-6.html
manual              : adj. 手工的,体力的 n. 手册,指南,键盘
assume              : vt. 假定, 设想, 承担; (想当然的)认为
precedence          : n. 优先, 居先
portfolio           : n. 文件夹，作品集，证券投资组合
matter              : n. 事件, 物质, 原因 vi. 有关系
backwards           : adj. 落后的, 向后的 adv. 向后
height              : n. 高度,高处,身高, 最高峰, 极点
front               : n.前面； 正面； 身体前部； 前线 adj.前面的； 正面的； 舌前的 v.面向； 在…前面； 用…作正面； 领导
eliminate           : v. 除去,排除,剔除 [计算机] 消除
beautiful           : adj.美丽的, 漂亮的
plain               : n. 平原,草原 adj. 简单的,平坦的,平常的,家常的 adj.纯的，不掺杂的
spatial             : adj. 空间的
inverse             : adj. 相反的,倒转的 n.   相反的事物,(数学)逆反函数, 倒数, 负数
archive             : n. 档案,档案馆 vt. 存档
secret              : adj. 秘密的,机密的 adv. 秘密地 n. 秘密
undefined           : adj. 未定义的
permission          : n. 同意,许可,允许
scheme              : n. 方案, 计划, 阴谋 v. 计画, 设计, 体系, 结构, 图谋
messy               : adj. 散乱的, 污秽的, 麻烦的
retrieve            : vt. 挽回,恢复,回忆,补偿 vi. 找回猎物 n. 取回,恢复

Chapter-5-page-7.html
Apache              : n. （北美土著）阿巴契人
rendering           : n. 翻译, 表现, 描写
navigation          : n. 航行, 航海, 导航
surrogate           : n. 代理；代用品；遗嘱检验法官 vt. 代理；指定某人为自己的代理人 adj. 代理的；替代的
member              : n. 成员, 会员, 部位
inherit             : vi. 继承 vt. 继承,遗传
philosophy          : n. 哲学,哲理
magic               : adj. 有魔力的, 神奇的 n. 魔法, 魔术 vt. 使用魔(变出等)
scale               : n. 鳞, 刻度, 衡量, 数值范围 v. 依比例决定, 攀登
launcher            : n. 发射者，发射物，发射台
foreign             : adj. 外国的,外交的,不相关的
brown               : adj. 褐色的,棕色的 n. 褐色,棕色 (姓)布朗
configure           : v. 配置
crawler             : n. 履带牵引装置(履带，履带式拖拉机，爬行物)
pyramid             : n. 金字塔 vi. 急速增加 vt. 以金字塔的模型构建
diagonal            : adj. 对角线的, 斜的, 斜纹的 n. 对角线, 斜线, 斜列
mobile              : adj. 可移动的,易变的,迁徙的, 流动的 n. (可随风飘动的)悬挂装置, 可动雕塑
basis               : n. 基础,根据,主要成分
regardless          : adj. 不注意的, 粗心的 adv. 不顾
loading             : n.装载,装填

Chapter-5-page-8.html
ahead               : adv. 向前地,将来地,占优势,提前
shortcut            : n. 捷径 v. 抄近路,走捷径
postfix             : n. [语]后缀 vt. 加 ... 作后缀
semantic            : adj. 语义的
identity            : n. 身份,一致，特征
welcome             : vt.欢迎； 乐于接受 adj.受欢迎的； 令人愉悦的； 表示感谢的 n.欢迎，迎接
structured          : adj. 有组织的，有安排的
disable             : v. 使...失去能力
scratch             : n. 抓痕,抓的声音,乱写 vt. &vi. 搔痒,抓,抹掉 adj. 使皮肤发痒的，潦草的
commonly            : adv. 一般地,通常地，普通地
taking              : n.  取得, 捕获, 售得金额 adj. 迷人的,  会传染的 动词take的现在分词形式
limited             : adj. 有限的
classic             : n. 古典作品,杰作,第一流艺术家 adj. 第一流的,最优秀的,古典的
lexical             : adj. 字典的, 语句的
broadcast           : n. 广播,广播节目 adj. 广播的 vt.& vi. 广播 adv. 经广播,四散地
training            : n. 训练
submit              : vt. 呈送, 递交, 主张 vt. 使服从, 屈服 vi. 屈从; 忍受
constant            : adj. 经常的, 不变的 n. 常数, 恒量
latter              : adj. 后面的,后者的 pron.&amp;n. 后者
ability             : n. 才能, 能力

Chapter-5-page-9.html
geographic          : adj.地理学的,地理的
familiar            : adj. 熟悉的,熟知的,不拘礼节的 n. 熟人,熟悉某种事物的人
casting             : n. 投掷
classifier          : n. 分级器，分选工，[语]量词
entity              : n. 存在,实体
alpha               : n. 希腊字母的第一个字母，最初，开端 adj. [化]阿尔法位的，主导的，首要的，按字母顺序的
employee            : n. 雇员
coverage            : n. 涉及范围(如保险范围或储备金额)，涂层，新闻覆盖率
combination         : n. 结合,联合，联合体
blank               : adj. 空白的, 茫然的, 全部的, 面无表情的, 未完工的 n. 空白(处), 空隙, 空虚, (有弹药而无弹头的)空弹 vi. 消失, 走神 vt. 使模糊不清, 删除, 封闭, (比赛时连续得分)使对手得零分
miller              : n. 磨坊主，铣床(工)
theory              : n. 理论,原则,看法,推测
instructor          : n. 教师,讲师,指导书
indentation         : n. 刻痕，印压, 缩进, （海岸线等）凹进处
builder             : n. 建立者，建筑工人 n. 增洁剂
official            : adj. 官方的,正式的,有权威的 n. 官员
variance            : n. 不一致, 变化; [数]方差
ticket              : n. 票,券,标签 vt. 加标签于,售票
pretty              : adj.漂亮的； 机灵的，聪明的 adv.相当，颇 n.漂亮的人（或东西）
processor           : n. 加工者,处理器

Chapter-5-page-10.html
cryptography        : n. 密码术, 密码系统
sphinx              : n. 狮身人面像, 谜一样的人
shelve              : vt. 放在架子上，搁置 vi. 倾斜
gender              : n. 性,性别 vt.& vi. 产生,发生
native              : adj. 本国的,本土的,出生地的,天生的 n. 本地人,土著人
truth               : n. 事实,确实,真理,现实
extended            : adj. 广大的,扩大范围的,长期的 v. 延长,扩充 vbl. 延长,扩充
suffix              : n. 后缀 vt. 添后缀
export              : vt. 输出，出口 n. 出口,输出品 vi. 传播,输出 adj. 出口的
comma               : n. 逗号，停顿，间歇 n. 银纹多角蛱蝶
period              : n. 学时, 课时; 一段时间, 时期, 周期; 句号
channel             : n. 通道,频道,海峡,方法 vt. 引导,开导,形成河道,输送
tracer              : n. 追踪者, 示踪物，曳光弹，[化]示踪剂
deviation           : n. 偏差数, 偏离，出轨，背盟
corpora             : 全集,任何事物之主体
floor               : n. 地板,楼层,底部,地面,议员,底线 vt. 铺地板,击倒,油门踩到底
aggregate           : n. 合计, 总计, 集合体 adj. 合计的, 集合的, 聚合的 v. 聚集, 集合, 合计
helper              : n. 帮忙者,助手
processed           : adj.经加工的, 处理的 动词process的过去式和过去分词
edition             : n. 版, 版本

Chapter-6-page-1.html
train               : n. 火车,行列;裙裾 vt. 训练,教养 vi. 练习
implicit            : adj. 暗示的,盲从的 [计算机] 隐式
contrast            : n.对比，对照； 差异； 对照物，对立面； [摄]反差
density             : n. 密集,密度,透明度
advantage           : n. 优势,有利条件 vt. 有利于
gamma               : n. 伽玛(希腊字母), 微克，[化]第三位的东西
pipeline            : n. 管道, 管线
percent             : adj.& adv. 百分之一,(与基数词连用)百分之... n. 百分之...
declaration         : n. 宣布, 宣言
lowercase           : adj. 小写体的 vt. 用小写字母书写，用小写字母打字 n. 小写体，小写字母
infix               : 插入
indicate            : v.指明, 表明, 显示, 象征, 指示
overriding          : adj. 最主要的
drawn               : adj.疲惫的； 憔悴的； 互无胜负的； 拔出鞘的 v.绘画( draw的过去分词)； 拖； 拉； 拔出
singleton           : n. 独生子, 独身, (扑克牌)单张
separated           : adj. 分开的 动词separate的过去式和过去分词
uniform             : adj. 一致的,统一的 n. 制服 vt. 穿制服
sequential          : adj. 连续的(序贯的)
selection           : n. 选择,挑选,挑选出来的人或事
cycle               : n. 循环,周期,长期,圈,套曲,自行车, vt. 环行,骑自行车 vi. 使环行

Chapter-6-page-2.html
singular            : adj. 个人的,单数的,独一的,唯一的,非凡的 n. 单数
activate            : v. 刺激,使...活动,创设
vertices            : n. 顶点,  最高点, 头顶
older               : adj.年长的
linguistic          : adj. 语言的, 语言学的
schedule            : n. 时间表, 一览表, 计划 vt. 安排, 计划, 预定, 编制目录
printer             : n. 打印机，印刷工
forward             : adv.前进地； 向前； 至将来； 提前地 adj.向前方的； 迅速的； （社会、政治）进步的； 早熟的 vt.促进，助长； （按新地址）转寄； 发送 n.前锋
distributed         : adj.分布的,分散式的 distribute的过去式（分词）
formal              : adj. 正式的,形式的,礼节上的,拘谨的 n. 正式(活动)
independent         : adj. 独立的, 自主的，私立的，无偏见的 n. 独立派人士, 无党派者
solve               : v. 解答(难题),解决 vt. 解答,解决
statistics          : n. 统计；统计学；[统计] 统计资料
calculate           : vt. 计算,估计,考虑,推测 vi. 计算,预测,依赖
website             : n. 网站
phrase              : n. 短语,习语,个人风格,乐句 vt. 措词表达,将(乐曲)分成乐句(来演奏)
semantics           : n. 语义学, 符号学
initialize          : vt. 初始化
exact               : adj. 精确的 vt. 强求,要求,索取
partition           : n. 分割,隔离物,隔墙 v. 区分,隔开,分割

Chapter-6-page-3.html
preview             : n. 预审,查阅,预习,预告 vt. 事先查看,查阅,预审,预习
convenient          : adj. 方便的
convenience         : n. 适宜，便利, 便利设施，方便的时间，舒适
recognize           : vt. 认出,认可,承认,意识到,表示感激
publisher           : n. 出版者, 发行人
repair              : n. 修理, 补救 v. 修理, 补救, 补偿 n. 维修工作，维修状态 vi. 去，集合
upgrade             : vt. 提高(上升,浓集,加强) n. 提高(上升,浓集,加强)
score               : n.得分； 分数； 总谱； 20个 v.得分； 记分； 评分； 获得胜利
broadcasting        : n. 广播节目，广播事业 动词broadcast的现在分词形式
detailed            : adj. 详细的
quantity            : n. 量,数量,大量
managing            : adj.管理的,节约的
relation            : n. 关系,家人,亲戚,叙述,陈述
blueprint           : n. 蓝图, 设计图, (周详的)计划 v. 制成蓝图, 计划
center              : n. 中心, 中间, 主角, 中锋, 重点 vi. 居中, 聚焦于... vt. 使集中, 放在中央
collect             : vt.收集； 收藏； 接走； 聚积 vi.募捐； 募集 adj.由受话人付费的
technically         : adv. 技术上, 学术上, 专门地
saving              :n. n. 节约，挽救 （复数)savings:储蓄金，存款
fantasy             : n. 幻想 v. 幻想
coach               : n. 大巴, 教练; (火车)客车车厢, 四轮马车, 经济舱 vt. 训练, 指导 vi. 训练, 指导

Chapter-6-page-4.html
audio               : adj. 成音频率的,声音的 n. 音响设备
bucket              : n. 水桶 vt. 装在桶里 vi. 急急忙忙
clone               : n. 克隆，无性繁殖，复制品 v. 克隆，复制
conditional         : adj. 有条件的, 假定的，假设的 n. [语]条件句
lexicon             : n. 辞典, [语言]词汇
numerical           : adj. 数字的, 用数字表示的
naive               : adj. 天真的,幼稚的
reversed            : v.翻转 adj.颠倒的
resolve             : n. 决定之事,决心,坚决 vt. 决定,解决,分离,表决 vi. 分离,决定
mathematical        : adj. 数学的，精确的，可能性极小的
attempt             : vt.试图； 尝试 n.进攻； 尝试，冲击
matrices            : n. 矩阵 名词matrix的复数形式
lowest              : adj.最低的,最底下的,最小的
docker              : n. 码头工人 n. 剪截工
motor               : adj. 机动的,有引擎的，汽车的 n. 发动机,马达，汽车 vt. & vi. （用引擎）驱动
visualization       : n. 可视化，形象化
endpoint            : n. 端点，[化]滴定终点
vehicle             : n. 传播媒介, 工具, 手段, 交通工具, 车辆;
success             : n. 成功,发财，胜利，成功者，成功的事物
toolbox             : n.工具箱

Chapter-6-page-5.html
connected           : adj. 相关的，连接的，连贯的 动词connect的过去式和过去分词
infinity            : n. (时间,空间等)无限,无穷，[数]无穷大
beacon              : n. 烟火, 灯塔
resize              : v.调整大小
intent              : n. 意图,目的,意向, 含义 adj. 专心的,决心的,热心的
continued           : adj. 继续的, 延续的 动词continue的过去式和过去分词
embedded            : adj. 植入的, 内含的, 深入的 v. 埋入, 植入, 深入 vbl. 埋入, 植入, 深入
piece               : n. 块,片,篇 vt. 修补,结合
thanks              : int. 谢谢 n. 谢谢(只用复数)
academia            : n. 学术界(学术生活)
improve             : vt. 改进,利用,(提高)价值 vi. 改进
mixer               : n. 混合器，混铁炉, 混频器, 混和者
shift               : n. 交换,变化,移动,接班者 vt. 更替,移转,变声 vi. 改变,定责,更衣
moment              : n. 片刻，瞬间，准确时刻，非常重要的时机，力矩
pseudo              : adj. 假的, 冒充的
readable            : adj. 字迹易辨认的 adj. 可读的, 易读的, 读起来津津有味的
concept             : n. 概念, 观念
pixel               : 像素
macro               : adj. 巨大的，大范围的，总的 n. [计算机]宏
headline            : n. (pl.)新闻提要, 大字标题

Chapter-6-page-6.html
permutation         : n. 交换, 排列
pocket              : n. 口袋,钱,袋 vt. 装...在口袋里,隐藏,私吞 adj. 小型的,钱的
composition         : n. 作文,著作,组织,合成物，成份
signed              : adj. 带正负号的，已签字的 动词sign的过去式和过去分词
conjugate           : v. 结合, 配合, （动词）词形变化 adj.成对的，[数]共轭的，[语]同词根的 n. [数]共轭值，[语]同根词
expand              : vt. 增加,详述,扩展,使...膨胀 vi. 扩展,增加,详述
relevant            : adj. 相关的, 切题的, 中肯的
cumulative          : adj. 累积的，附加的
suitable            : adj. 合适的, 适宜的
significant         : adj. 有意义的, 意味深长的; 相当数量的; 重要的, 重大的 n. (复)有意义的事物; 标志
largest             : adj.大的,多量的
coordinate          : n. 同等的人物; (色调, 图案, 样式等)配套服装 adj. 同等的, 等位的; (大学)男女分院制的 v. 协调, 整合; 使一致 [计算机] 坐标
watch               : n. 手表,注视 vt. 观察,监视,注视,照顾,等待 vi. 留意,观察
neural              : adj. 神经的
digit               : n. 数字,位数,指头
animal              : n.动物，兽，牲畜； <俚>家畜，牲口； <俚>畜生（一般的人）； 兽性 adj.动物的； 肉体的； 肉欲的
classification      : n. 分类,分级
additionally        : adv. 另外(加之, 又)
prime               : adj. 最初的,首要的,最好的，典型的 n. 青春,壮年,全盛时期 vt. 事先指点,在（金属、木材等上）打底漆  vi. 变得首要
equality            : n. 同等, 平等

Chapter-6-page-7.html
experience          : n. 经历, 经验 vt. 经历, 体验
concrete            : n. 水泥,混凝土 adj. 具体的,实在的,水泥的 vt. &vi. 凝结,结合
registered          : adj. 注册的, 登记过的, 记名的 vbl. 注册
oracle              : n. 神谕, 神谕处, 预言
prevent             : v. 预防, 防止
nester              : n. &lt;西&gt;放牧地自耕农, 筑巢者(如鸟), 试验筛组的单位筛
deploy              : vt. &vi. 展开,配置,部署
computation         : n. 计算，计算机的使用，计算方法，计算结果
histogram           : n. 柱状图 [计算机] 直方图
closing             : n. 结尾，终止，结算 adj. 结束的 动词close的现在分词
couple              : n. 对, 夫妇, 数个 v. 加倍, 成双, 连结
failure             : n. 失败,失败的人或事
achieve             : vt. 完成,达到,实现 vi. 达到目的
protection          : n. 保护,防卫
biology             : n. 生物学
sister              : n. 姐妹，护士长
fixture             : n. 固定装置或设备,体育运动项目,固定在某位置的人或物
hence               : adv. 今后, 从此, 因此, 所以
construction        : n. 建设，建造，结构，构造
albeit              : conj. 虽然(即使)

Chapter-6-page-8.html
plural              : adj. 复数的 n. 复数
reuse               : v. 再使用 vt. 重新使用
wrote               : vbl.write的过去式
discrete            : adj. 不连续的 离散的 [计算机] 分离 离散
counting            : n. 计算
failed              : adj. 失败的,不成熟的
technology          : n. 技术,工艺(学)
recommend           : vt. 建议, 推荐, 劝告 vt. 使成为可取, 使受欢迎
reporter            : n. 记者
dependency          : n. 依赖，属国, 保护地，从属物
briefly             : adv. 简短地,简单的
formed              : adj. 成形的 动词form的过去式和过去分词
flatten             : v. 变单调, 变平, 打倒
latex               : n. 胶乳, 乳液
resolution          : n.决心； 解决； 坚决； 分辨率
crawl               : vi. 爬行，卑躬屈膝，自由式游泳 n. 爬行, 匍匐而行，[体育]自由式游泳
mostly              : adv. 大概, 大部份, 主要
parallel            : adj. 平行的,相同的,类似的,并联的 adv. 平行地 n. 平行线(面),相似物,对比 vt. 相比,相应,与...平行
plotting            : n.测绘,标图
blocking            : 舞台场面设计,舞台调度;舞台调度,舞台场面调度设计;模块化

Chapter-6-page-9.html
matched             :adj. 相配的;相称的
research            : n. 调查,研究 vt. &vi. 调查,研究
radio               : n. 收音机,无线电 vt.& vi. 用无线电通讯
intercept           : n. 截取,妨碍,截距 v. 拦截,阻止,截取 [计算机] 截断
enterprise          : n. 企业,企划,进取心
predicate           : n. 述语, 谓语 adj. 述语的, 谓语的 v. 断定为, 意味
statistical         : adj. 统计的, 统计学的
stable              : adj. 稳定的；牢固的；坚定的 n. 马厩；牛棚 vi. 被关在马厩 vt. 赶入马房
pivot               : n. 枢,核心,旋转 adj. 在枢轴上转动的,关键的 vt. 装枢轴于,以...为中心旋转 vi. 在枢轴上转动
bisect              : vt. 平分, 切分为二 vi. 交叉
situation           : n. 位置, 形势, 局面, 处境, 状况, 职位
compiler            : n. 编辑者，[计算机]编译器, 编译程序
friendly            : adj. 友好的 adv. 友好地 n. 友好者
contact             : v. (与)联系, (与)接触 n. 接触, 联系; 联系人
bootstrap           : 引导指令(程序), 辅助程序
celery              : n. 芹菜
fairly              : adj. 公平地, 相当 adv. 相当地
nature              : n.自然,自然界,自然状态; 本性,天性,性质; 质; 性格; 性; 本质
asynchronous        : adj. 异步的
payload             : n. 有效载重，负载

Chapter-6-page-10.html
multiply            : vt. 乘,增加 vi. 扩大,繁衍,做乘法 adv. 多样地,多重地
chosen              : adj.挑选出来的 动词choose的过去分词形式
tester              : n.试验装置,考试人&lt;br /&gt;n.泰斯通（头像银币)&lt;br /&gt;=teston&lt;br /&gt;n.华盖
membership          : n. 成员资格,会员全体，从属关系
quant               : n. 船桨
derive              : v. 得自, 起源, 引申于
runner              : n. 赛跑的人
ravel               : vt. 使更复杂；使更纷乱
coefficient         : n. 系数
playhouse           : n. 戏院, 儿童游戏房
device              : n. 装置, 设计, 策略, 设备
understanding       : n. 了解, 理解, 个人见解, 非正式协议, 谅解, 同情心, 洞察力 adj. 有同情心的
switch              : n. 开关, 电门，闸，转换器, vt. &vi. 鞭打，转轨，交换，突然转变, 摆动，接通或切断…电流
multidimensional    : adj. 多维的，多面的
continuous          : adj. 连续的, 继续的, 连绵不断的
brief               : n. 摘要,简报,公事包 adj. 简短的,简洁的 v. 对...作简报,摘要
determined          : adj. 坚毅的,下定决心的
customer            : n. 顾客，家伙
recreation          : n. 消遣, 娱乐

Chapter-7-page-1.html
uppercase           : n. 大写字母 adj. 大写的 vt. 用大写字母排版或印刷
widely              : adv. 广泛地
atomic              : adj. 原子的, 原子能的
solely              : adv. 独自地,单独地
accuracy            : n. 准确(性), 精确度
brain               : n.脑； 智慧； 聪明的人； （群体中）最聪明的人 vt.打破…的脑袋； 打…的头部
describe            : vt. 描述, 画(尤指几何图形)
female              : adj. 雌的,女(性)的 n. 雌性的动植物,女子
traversal           : n. 横越, 横断物, (横向)往返移动
trigger             : vt. 引发，引起；触发 vi. 松开扳柄 n. 扳机；[电子] 触发器；制滑机
impact              : n. 冲击(力), 冲突, 影响(力) vt. 挤入, 压紧; 撞击; 对...发生影响
implied             : adj.暗指的,含蓄的
decision            : n. 决定,决心
delegation          : n. 代表团，委派,，授权
obvious             : adj. 明显的,显而易见的
quote               : n. 引用 v. 引述, 举证, 报价
terry               : n. 特丽(女子名，Theresa 的昵称) [terry] n. 厚绒布
indented            : adj. 锯齿状的, 犬牙交错的 动词indent的过去式和过去分词形式
explain             : vt. &vi. 解释,说明
collision           : n. 碰撞, 冲突

Chapter-7-page-2.html
indent              : n. 契约, 订货单 v. 切割成锯齿状, 缩排, 定货 [计算机] 缩排, 缩进
imaginary           : adj. 想象的, 虚构的
annotate            : v. 注解
scene               : n. 场,景,情景
identify            : vt.识别，认出； 确定； 使参与； 把…看成一样 vi.确定； 认同
binding             : n. （书籍的）封皮, 镶边, （滑雪板的）皮靴固定装置 adj. 必须遵守的；有法律约束力的
minute              : adj. 微小的,不重要的,详细的 n. 分钟,一会儿,会议记录 vt. 记录
augmented           : adj.增音的,扩张的
photography         : n. 摄影术
tombola             : n.一种彩券
lives               :phrase. （life的复数）
checkout            : n. 检验；签出；结账台；检出
adder               : n. 加法器 n. 蝰蛇，小毒蛇
median              : adj. 中央的, 中间的, 正中的 n. 中动脉, 中位数, 中值
scientific          : adj. 科学的
differ              : vi. 不一致,不同(意见)
unbound             : adj. 无束缚的，未装订的，[化]非结合的 动词unbind的过去式和过去分词
syntactic           : adj. 句法的
exclude             : vt. 除外,排除,拒绝 [计算机] 排除
spark               : n. 火花,朝气,情人,俗丽的年轻人 vi. 闪烁,冒火花,热情回应 vt. 激发,引起,追求

Chapter-7-page-3.html
showing             : n. 显示, 放映 动词show的现在分词
triangle            : n. 三角(形)
marked              : adj. 有记号的,显著的,醒目的 v. 作记号,打分数,表示 vbl. 作记号,打分数,表示
interest            : n. 兴趣, 嗜好, 利息; 股份 vt. 使...感兴趣
cloud               : n. 云,云状的烟，阴影 vt. 使…模糊，以云遮敝,笼罩，使…混淆,毁坏 vi. 脸色显得阴沉
realistic           : adj. 现实的, 现实主义的
anonymous           : adj. 匿名的,无名的,没特色的
finance             : n. 财政, 资金 vt. 给...提供资金, 负担经费
Christianity        : n.基督教
identical           : adj. 相同的,同一的
backward            : adj. 向后的 adv. 向后
delimiter           : n. 定界符, 分隔符
turtle              : n. 海龟
compress            : vt. 压缩, 压榨 n. [医]敷布
embed               : vt. 栽种，使嵌入，使深留脑中
deployment          : n. 部署,展开
declared            : adj. 承认的, 公告的 动词declare的过去式和过去分词
concatenate         : v. 连结,连锁 adj. 连锁的
rehash              : vt. 重复（谈论） n. 重复
developing          : adj. 发展中的

Chapter-7-page-4.html
probing             : adj. 好探索的, 尖锐的 动词probe的现在分词
family              : adj. 家庭的 n. 家庭
procedure           : n. 程序, 手续, 步骤; 常规的做法
talent              : n. 才能, 人才, 天资
compound            : n. 混合物,复合词 adj. 复(混)合的,合成的 vt. 混合,调合,妥协 vi. 混合,妥协
publication         : n. 出版, 发行, 出版物, 公布, 发表
genre               : n. 类型,流派
slash               : vi. 大幅度削减 vt. 猛砍,尖锐抨击,大幅减少 n. 猛砍,斜线,长切口,衣衩
union               : n. 联盟,结合,政党,工会,连接轴 adj. 联邦政府的,工会的
develop             : vt. 发展,开发,冲洗照片 vi. 进步
traditional         : adj. 传统的
receiver            : n. 接收器, 收款员, 接待者，听筒
executor            : n. (遗嘱)执行人
trick               : n. 诡计，欺诈，把戏，诀窍 vt. 戏弄,欺骗 adj. 有诡计的，有阴谋的
wizard              : n. 男巫, 术士, 鬼才 adj. 男巫的, 巫术的
middle              : n.中部，中间； 腰部； 中央； 正中 adj.中部的； 中央的； 正中的； 中间的 vt.把…放在中间； 把…对折 vi.放在中间； 对折
insertion           : n. 插入,刊载,插入物
origin              : n. 起源,出身,开端
behaviour           : n. 行为(工作情况, 运转状态, 特点)
filling             : n. 充填物，装满，馅 动词fill的现在分词

Chapter-7-page-5.html
confirm             : v. 确定, 批准, 证实
black               : adj.黑（色）的； 黑色人种的； 黑暗的 n.黑色； 黑人； 黑颜料； 黑暗 v.使变黑； 抵制； 拒绝； 使变黑暗
balance             : n. 天平, 平衡, 差额, 平静, 调和, 制衡 vt. 使平衡, 称重量, 权衡, 抵消 vi. 建立平衡, 均衡
valued              : adj. 宝贵的 动词value的过去式和过去分词形式
polygon             : n.多边形
decoder             : n. 解码器，译码员
opening             : n. 开始, 口, 揭幕, 空缺的职务 vbl. 打开, 开放, 开始
salary              : n. 薪水 vt. 给...薪水
gaming              : n.赌博 动词game的现在分词
scraping            : n. 擦去,抹去,削去
quality             : n. 品质, 特质, 才能 adj. 高品质的
generation          : n. 代, 一代
palette             : n. 调色板, 颜料
twisted             : adj. 扭曲的, 恶毒的 动词twist的过去式和过去分词
practical           : adj. 实际的,实用的,明智的 n. 实践考试
typical             : adj. 典型的, 有代表性的
restaurant          : n. 餐馆,饭店
segment             : n. 部分 v. 部分,段,分割 vt. 分割
raspberry           : n. 覆盆子；舌头放在唇间发出的声音；（表示轻蔑，嘲笑等的）咂舌声
retain              : vt. 保持, 保留; 记住

Chapter-7-page-6.html
preface             : n. 序文, 绪言, 前言 v. 作序, 写前言, 以...开始
finished            : adj. 完成的, 精湛的 动词finish的过去式和过去分词
regression          : n. 复原,逆行,退步
optimization        : n. 最佳化;最优化
calculated          : adj. 有计划的,适当的,适合的
activity            : n. 活动；行动；活跃
guest               : n. 客人, 客串演员, 特邀来宾 vt. 款待 vi. 作客
compressed          : adj. 压缩的 动词compress的过去式和过去分词
charlie             : n.  蠢人；查利(男名)
decoration          : n. 装饰, 装饰品
observer            : n. 观察者
portable            : adj. 轻便的,手提式的 n. 手提打字机
incompatible        : adj. 不相容的, 不能并存的, 矛盾的
dialog              : n. 对话, 对白 （美）=dialogue
sensitive           : adj. 敏感的,灵敏的,易受伤害的,感光的,善解人意的  n. 敏感的人
Judaism             : n. 犹太教, 犹太教徒, 犹太主义
octal               : adj.八进制的
anaconda            : n. 水蟒
angle               : n. 角(度),角落 vt. 斜移,转变角度 vi. 钓鱼,谋取,转变角度 n. (Angle)盎格鲁人
excellent           : adj. 极好的,优秀的

Chapter-7-page-7.html
localization        : n.地方化,局限,定位
sampling            : n. 抽样，样品 动词sample的现在分词形式
material            : n. 材料, 原料, 物质; n. 素材, 题材, 资料 adj. 物质的, 实体的; 身体上的, 肉体的 adj. 重要的, 关键的
stage               : n. 阶段,舞台,驿站 v. 上演,表演,乘驿车旅行
invocation          : 祈祷，乞求神灵保佑，乞灵；[常作 the Invocation](礼拜仪式开始时的)祷文；(写史诗时为求得灵感而作的)祈求
digest              : n. 摘要 vt. 消化,理解 vi. 消化
teardown            : n. 拆卸
accepted            : adj. 公认的，可接受的，录取的
customization       : n.[计]用户化,专用化,定制
greeting            : n. 问候,打招呼
board               : n. 木板, 甲板, 董事会 n. 伙食; 舞台, 演员的职业; 船舷 vt. 登(飞机、车、船等); 有偿提供食宿; 用木板覆盖 vi. 搭伙
university          : n. 大学
flexibility         : n. 灵活性, 柔韧性，适应性
minor               : adj. 次要的, 较小的, 二流的, 未成年的 n. 未成年人, 辅修科目, [音乐]小调 vi. 辅修
weighted            : adj. 加重的, 加权的 动词weight的过去式和过去分词
haystack            : n. 大干草堆 =hayrick
longest             : adj.长的
candidate           : n. 候选人, 求职者
rollback            : n. 反转，回落
parenthesis         : n. 圆括号, 插入语, 插曲，间歇,停歇

Chapter-7-page-8.html
giving              : n.给予物,给予 动词give的现在分词
hidden              : adj. 隐藏的, 秘密的 vbl. 藏着, 隐藏, 躲藏 [计算机] 隐藏的
explanation         : n. 解释, 说明
caught              : v. (catch的过去式)抓住，赶上 adj. 怀孕的
somewhere           : adv. 在某处，到某种程度，大约，差不多
backup              : n. 后备,后备
Japanese            : n. 日本人,日语 adj. 日本的，日本人的，日语的
serialization       : n. 序列化，长篇连载
formula             : n.   公式,配方,规则；代乳品 adj. （赛车的）级的，方程式的
unchanged           : adj. 无变化的
phase               : n. 相, 相位,时期,局面,阶段 v. 逐步执行,实行,按计划进行
migration           : n. 移民,移往,移动
reporting           : n. 报告 adj. 报告的 动词report的现在分词形式
region              : n. 地区,地域,地带,行政区
Amazon              : n.亚马逊河,亚马逊(女战士)
studied             : adj. 有计划的；故意的 v. 学习（study的过去式）
graphical           : adj. 图解的, 绘图的, 生动的
advice              : n. 忠告，建议，劝告
colon               : n. 冒号, 结肠, 科朗(哥斯达黎加和萨尔瓦多的货币单位) (Colon)科隆(巴拿马港市)
algebra             : n. 代数学

Chapter-7-page-9.html
squeeze             : n. 压榨,榨出的少量,佣金,经济拮据 vt. 紧握,挤压,使经济困难 vi. 让步,压迫,险胜
extraction          : n. 抽出, 取出, 抽出物 n.血统
adjacency           : n. 邻近, 邻接
reduction           : n. 减少,缩小, (化学)还原反应, (数学)约分
handy               : adj. 方便的, 手边的
freedom             : n. 自由
